noteId,tweetId,writer,n_words,n_urls,flesch_kincaid_grade,vader_compound
2008923276471386366,2008581445976289680,bot,38,1,10.7,0.0644
2009465432562966801,2009371431306441175,bot,39,1,10.7,-0.7783
2009472117142602152,2009211035790791058,bot,34,1,7.7,-0.5023
2009631370503463164,2009349167391625239,bot,22,1,2.6,0.891
2010011572203037170,2009710905643413736,bot,32,2,13.1,-0.8885
2011448880206876853,2011360517474897961,bot,31,1,9.7,-0.6705
2011831965276639456,2011545167267053791,bot,33,1,7.6,-0.4287
2012213469274136955,2011804909834789028,bot,41,2,12.5,-0.9716
1984621633445753088,1984183024288969010,bot,44,2,6.7,-0.7964
1984623638247522486,1984464886236131628,bot,42,2,5.2,-0.0772
1984625080526106841,1984023240524943392,bot,32,2,7.2,0.0
1984625900822876378,1984425136809033894,bot,37,2,3.4,0.3818
1984626406345572541,1984466430553964545,bot,46,2,3.1,-0.4482
1984630000146919490,1983955840941113756,bot,38,2,10.7,0.0
1984631369733898412,1984036373951545642,bot,38,2,8.3,0.7964
1984631726656663937,1984370718361207056,bot,39,2,12.1,0.6124
1984982360044016088,1984697757467316562,bot,33,2,5.2,0.1027
1984984367056159154,1984939666714624178,bot,41,2,8.6,-0.8447
1984984899900612669,1984458032290394195,bot,41,2,6.3,-0.765
1984986371237302288,1984790395918663818,bot,39,2,7.4,0.7579
1985007513880740182,1984741263464137048,bot,34,2,9.9,-0.3182
1985007884623634818,1984662561623790028,bot,41,2,7.7,-0.8074
1985356607413248243,1985049595425271914,bot,23,2,9.0,-0.0987
