noteId,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,toxicity_model
1999147595415822744,0.0024910802021622658,3.310676220280584e-06,9.208560368278995e-05,0.00021500619186554104,0.0003622861404437572,0.00023944910208228976,6.530184327857569e-05,detoxify-unbiased
1999523296841183449,0.0010461934143677354,1.5610465879944968e-06,3.039899456780404e-05,0.00033260014606639743,0.0001900358620332554,2.159717223548796e-05,1.5120018360903487e-05,detoxify-unbiased
1999524351792582722,0.0012223783414810896,1.622569129722251e-06,3.74432020180393e-05,0.0001490896102041006,0.0002883286797441542,4.769119550473988e-05,1.9120016077067703e-05,detoxify-unbiased
1999526147705426107,0.0005377226625569165,1.1646443454083055e-06,2.7418405807111412e-05,7.11389075149782e-05,0.00015308578440453857,1.6550289728911594e-05,1.4017954526934773e-05,detoxify-unbiased
1999526488178032824,0.0009207833209075034,1.3757717169937678e-06,3.7179295759415254e-05,0.00014021433889865875,0.0002101127611240372,2.1124909835634753e-05,1.7109090549638495e-05,detoxify-unbiased
1999526658542354501,0.0003716275095939636,1.2814349474865594e-06,2.719738768064417e-05,6.902006862219423e-05,0.00010382876644143835,1.7102565834647976e-05,1.1885568710567895e-05,detoxify-unbiased
1999935753472582064,0.0004752806562464684,1.3270714589452837e-06,2.7096808480564505e-05,8.67431444930844e-05,0.00011660369636956602,2.20585243368987e-05,1.4530197404383216e-05,detoxify-unbiased
1999938051548581998,0.0003826966567430645,1.2059065284120152e-06,2.374157338635996e-05,7.606148574268445e-05,0.00011245080531807616,1.5524770788033493e-05,1.1225149137317203e-05,detoxify-unbiased
1999950553737032042,0.012840251438319683,8.277853339677677e-06,0.0009973618434742093,0.0009321966790594161,0.003859817748889327,5.518181569641456e-05,9.418342960998416e-05,detoxify-unbiased
1999951359806771310,0.00045606651110574603,1.6670920786054921e-06,3.079130328842439e-05,9.225602843798697e-05,0.00010509852290851995,2.8267942980164662e-05,1.554588379804045e-05,detoxify-unbiased
1999961783428125088,0.0008572339429520071,1.7446947140342672e-06,3.254211333114654e-05,0.0001585497084306553,0.0001901682117022574,3.983575516031124e-05,2.335685712751001e-05,detoxify-unbiased
2000312795179385217,0.0005155172548256814,1.403584860781848e-06,3.232926974305883e-05,7.735672261333093e-05,0.00011868335423059762,2.084243533317931e-05,1.4704362001793925e-05,detoxify-unbiased
2000315642113634480,0.002443063771352172,3.995514816779178e-06,0.0001044121672748588,0.001671411213465035,0.00046446843771263957,4.206365701975301e-05,2.8958402253920212e-05,detoxify-unbiased
