noteId,tweetId,writer,cites_bbc_com,cites_cnn_com,cites_en_wikipedia_org,cites_facebook_com,cites_instagram_com,cites_reuters_com,cites_share_google,cites_snopes_com,cites_t_co,cites_theguardian_com,cites_x_com,cites_x_com_grok,cites_yahoo_com,cites_youtube_com
1987663559312978136,1987276862234456334,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987663884728058129,1987212260993806801,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1987664208826130513,1987536370118627796,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987664653829234848,1987568818772717709,bot,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1987966120934904219,1987943138497843571,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987966268415049824,1987569453299912882,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1987967801814852089,1987881598050566394,bot,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1987968253285577141,1987928829357347143,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987970606487286035,1987777364202586141,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987970798993154553,1987647365059117379,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987971952892411997,1987675879049486560,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988279439642206496,1988041452493172783,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988281557371461758,1987910682315042955,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988282872382251164,1988251246977843283,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988285994773225625,1987945233553002778,bot,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1988286623977497057,1988087290233844059,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988287024101544236,1987932761030631837,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988384045567226150,1988320617352098207,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988423848950198544,1988343017326223647,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988425038886740153,1988343457052848205,bot,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1988425723703386435,1988223180956193063,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988630948296986751,1988352075206398319,bot,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1988634803449545042,1988332213717319864,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988635269772247228,1988239357992726978,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988638965956596118,1988272634723754106,bot,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988647822443377074,1988452838834385214,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988648259951235302,1988346364644757766,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988649392958533847,1988475040921276749,bot,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1988649893053730938,1988281816642712028,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988650166216237086,1988514720005972197,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1988716121613046062,1988420315656131070,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989007283087421793,1988796762069631123,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989008306837336502,1988752770497761532,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989010219397972190,1988373799159656635,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989064405724569807,1988483394825842983,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989065036766015938,1989033636155236742,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989065710266433809,1988957905295655337,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989069280822837414,1988727649364267348,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989087365462110528,1989028802589323325,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989089616008196243,1989016768937955466,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989089998499422682,1988939159357235418,bot,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1989090031122657408,1988977921088974905,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989094034476872103,1988938432878354509,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989095971389587846,1988921829709193655,bot,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1989097414288883738,1989009112097566866,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989340211541610754,1989321989320798640,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989342867630825751,1989100069275177286,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989413338233626656,1989401918863810774,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989416595949551910,1989271391175319873,bot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989443920531464456,1988938435504353484,bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
